CVI|Caleta Olivia|AR|-46.433333|-67.516667
CNQ|Corrientes|AR|-27.450000|-58.766667
IRJ|La Rioja|AR|-29.381667|-66.795833
CPG|Carmen De Patagones|AR|-40.800000|-62.983333
CTC|Catamarca|AR|-28.448333|-65.779722
IGR|Iguazu|AR|-25.583333|-54.333333
CVH|Caviahue|AR|-37.916667|-71.013889
CRR|Ceres|AR|-29.866667|-61.833333
CPC|San Martin DeLos Andes|AR|-40.083333|-71.133333
CNT|Charata|AR|-27.216667|-61.216667
CLX|Clorinda|AR|-25.333333|-57.666667
CCT|Colonia Catriel|AR|-37.850000|-67.866667
OLN|Colonia Sarmiento|AR|-45.583333|-69.000000
BHI|Bahia Blanca|AR|-38.716667|-62.183333
CRD|Comodoro Rivadavia|AR|-45.783333|-67.466667
COC|Concordia|AR|-31.300000|-58.016667
UZU|Curuzu Cuatia|AR|-29.783333|-58.016667
CUT|Cutral|AR|-38.966667|-69.250000
EHL|El Bolson|AR|-41.966667|-71.516667
JUJ|Jujuy|AR|-24.233333|-65.266667
FTE|El Calafate|AR|-50.280278|-72.053056
EMX|El Maiten|AR|-42.068056|-71.155556
EPA|El Palomar|AR|-28.083333|-64.283333
MDZ|Mendoza|AR|-32.833333|-68.783333
FMA|Formosa|AR|-26.212778|-58.228056
PMY|Puerto Madryn|AR|-42.733333|-65.066667
ELO|Eldorado|AR|-26.400000|-54.633333
EQS|Esquel|AR|-42.916667|-71.150000
EZE|Buenos Aires|AR|-34.822222|-58.535833
ROS|Rosario|AR|-32.833333|-60.716667
SLA|Salta|AR|-24.850000|-65.483333
GPO|General Pico|AR|-35.700000|-63.750000
GNR|General Roca|AR|-39.033333|-67.583333
VGS|General Villegas|AR|-35.033333|-63.016667
GGS|Gobernador Gregores|AR|-48.766667|-70.200000
OYA|Goya|AR|-29.100000|-59.250000
GHU|Gualeguaychu|AR|-33.016667|-58.583333
IGB|Ingeniero Jacobacci|AR|-41.300000|-69.583333
RGL|Rio Gallegos|AR|-51.650000|-69.200000
BRC|San Carlos DeBariloche|AR|-41.133333|-71.166667
USH|Ushuaia|AR|-54.843333|-68.295833
JSM|Jose De San Martin|AR|-44.033333|-70.466667
JNI|Junin|AR|-34.583333|-60.966667
LCM|La Cumbre|AR|-31.000000|-64.533333
